PQ,SQ,RQ,PQ_th,SQ_th,RQ_th,PQ_st,SQ_st,RQ_st
52.007829451345785,60.956226181929615,33.17866901365264,0.0,0.0,0.0,96.58596898107075,113.204420052155,61.61752816821203
66.39271623282289,78.01164435357282,36.10941178073868,0.0,0.0,0.0,123.30075871809964,144.87876808520667,67.06033616422899
75.30501442806778,88.65367666893535,39.53348436609245,0.0,0.0,0.0,139.85216965212587,164.64254238516565,73.4193281084574
83.48047341114312,94.21486365729396,42.89046543369641,0.0,0.0,0.0,155.03516490640868,174.97046107783166,79.65372151972191
100.08242878958586,113.63504812137819,55.609162424614965,20.41636382237343,28.55288156557954,24.078164825828377,168.36762733291084,186.5626194549199,82.63573179500348
114.62908847893496,125.8395521774579,66.8020073591288,38.597706993509945,43.343990668223,44.5246671103745,179.79884403787068,196.55003347108783,85.8968704294896
134.6808273997458,144.78520124106635,75.56077320841948,53.08435872472735,58.913130850444105,60.07774140752864,204.62065769261878,218.38983300445688,88.83194332346875
138.0583667400991,153.82735890855892,84.10229510618524,69.43933605762348,87.93168731816455,78.5515873015873,196.87467875364962,210.3093631288969,88.86004465298345
174.16988359619032,182.91888867920886,91.94473317179394,82.48550433875882,87.78714258000177,93.95517181231469,252.7564943882745,264.4603853356721,90.22150005134758
166.8011100107339,172.30966260382655,94.84039322236661,85.53396243607386,89.62412783422128,95.45327247708201,236.45866507472832,243.18297812063113,94.31506814689627
171.51345620692882,175.09661003603858,96.71757519817564,86.60063222759194,89.83385580510635,96.39652014652015,244.2958767606462,248.17897080540905,96.99276524245181
191.4190374965537,193.11830779792476,98.27962782486678,88.0769624434329,90.25674638845138,97.61700020846362,279.99795897065724,281.28536043461617,98.84759435321234
169.61615561835742,171.707983909459,97.93018647066994,87.41748880320658,90.13377662813876,96.97561801511125,240.07215574562957,241.62873300773344,98.74838800400599
200.05202836290397,202.1088538955102,97.91332745856641,88.38587445874907,91.31607014978898,96.82334941481284,295.76587456646524,297.0740971061283,98.84759435321234
185.40398475536355,187.20307272040998,98.12176566397956,89.32170625496475,90.87596665218388,98.31144465290808,267.76022346999116,269.76916363603243,97.95918367346938
209.4778037554637,210.8982759194286,98.60014064537961,89.63437243351441,91.17772598396913,98.31144465290808,312.2007448885631,313.5158901498225,98.84759435321234
272.8851530919577,274.52481269182056,98.30938292476755,90.70226465847071,91.90943593418885,98.71794871794873,429.04191460637503,431.05227848407617,97.95918367346938
227.08566963909806,228.72423974385003,98.30938292476755,90.98462800956946,92.18920415453397,98.71794871794873,343.74370532155115,345.75427024897806,97.95918367346938
223.99584193633513,225.63901779781884,98.30938292476755,91.38675163556165,92.59588025626643,98.71794871794873,337.66077647985526,339.6759928334352,97.95918367346938
282.7372705234322,284.3742163501751,98.30938292476755,91.23009812806306,92.42534338014853,98.71794871794873,446.88627543374844,448.90182175305495,97.95918367346938
207.24204935433494,209.05180991098678,98.12176566397956,90.97930158761659,92.54849059243789,98.31144465290808,306.89583315437926,308.9117978983143,97.95918367346938
229.230270125962,230.87325339530213,98.30938292476755,91.38521199480186,92.58979016247243,98.71794871794873,347.3831770955278,349.401936166299,97.95918367346938
240.92374823295916,241.4832244546025,99.40828402366864,91.72701798096722,92.93921646119446,98.71794871794873,368.8066598775237,368.8066598775237,100.0
199.57726582173845,201.22427192099562,98.30938292476755,91.99580385136308,93.20699713026727,98.71794871794873,291.7899475106317,293.81050745590574,97.95918367346938
204.68348643233549,205.24063555521556,99.40828402366864,91.41392950733191,92.6210859402388,98.71794871794873,301.7716780823385,301.7716780823385,100.0
209.96849347067337,210.5303503579127,99.40828402366864,91.73109384019581,92.94845042921432,98.71794871794873,311.3148360110827,311.3148360110827,100.0
266.74503563075996,267.3057171837297,99.40828402366864,92.28496538076402,93.4997754121984,98.71794871794873,416.28223870218494,416.28223870218494,100.0
227.7385430498528,228.30046165269638,99.40828402366864,92.36624288748617,93.58373319364725,98.71794871794873,343.7719431890243,343.7719431890243,100.0
218.12440862279163,218.68802367782288,99.40828402366864,92.45599867655014,93.67716462911802,98.71794871794873,325.8401885767128,325.8401885767128,100.0
261.1081130832088,261.66805526717667,99.40828402366864,92.54139655231869,93.75460461758242,98.71794871794873,405.59387010968607,405.59387010968607,100.0
223.38921107977342,223.95235671403114,99.40828402366864,92.65769578981462,93.87784466403964,98.71794871794873,335.44479561402386,335.44479561402386,100.0
224.19193061212863,224.75439286720103,99.40828402366864,92.35802566449722,93.57669388382077,98.71794871794873,337.19242056724136,337.19242056724136,100.0
221.02277385099586,221.57662440887532,99.40828402366864,92.40082391244889,93.60083345452102,98.71794871794873,331.27015951260756,331.27015951260756,100.0
212.40831762980287,212.97377840862075,99.40828402366864,92.79253287973445,94.01769790050652,98.71794871794873,314.9361331298615,314.9361331298615,100.0
257.5002745993247,258.06561195170417,99.40828402366864,92.77943407535255,94.00433167217457,98.71794871794873,398.68956647701503,398.68956647701503,100.0
234.87510216177557,235.4373298456419,99.40828402366864,92.73920896600602,93.9573689477164,98.71794871794873,356.7058677581495,356.7058677581495,100.0
252.70101620877173,253.26684223598969,99.40828402366864,93.14568996587394,94.37164635817959,98.71794871794873,389.4627244169697,389.4627244169697,100.0
301.3262811900539,301.89367395130864,99.40828402366864,93.14381123871533,94.37316222143379,98.71794871794873,479.76839829120127,479.76839829120127,100.0
326.5075556859706,327.07250525972813,99.40828402366864,92.88464155083565,94.10869896064379,98.71794871794873,526.7557678018006,526.7557678018006,100.0
260.92034391246466,261.48563093339146,99.40828402366864,92.5476131911633,93.77240173650473,98.71794871794873,405.2398273878658,405.2398273878658,100.0
266.26511639986893,266.83191023313213,99.40828402366864,93.25041090983194,94.47846421523543,98.71794871794873,414.5634353913293,414.5634353913293,100.0
