PQ,SQ,RQ,PQ_th,SQ_th,RQ_th,PQ_st,SQ_st,RQ_st
53.140631847670605,62.1210991064211,33.41639550825646,0.0,0.0,0.0,98.68974485995969,115.36775548335345,62.059020229619136
69.98768922967324,81.54053179516443,36.99830452845913,0.0,0.0,0.0,129.97713714082172,151.43241619101963,68.7111369814241
77.36663289662614,85.03025960505458,40.04981670013849,0.0,0.0,0.0,143.68088966516282,157.91333926652996,74.37823101454292
87.98961733843473,99.01365221502859,42.63797239620747,0.0,0.0,0.0,163.40928934280734,183.88249697076736,79.18480587867103
96.90738912632646,103.95119163152484,46.94632558132115,0.0,0.0,0.0,179.9708655203206,193.0522130299747,87.18603322245356
112.25037448059192,126.81769912716076,55.18776273031158,13.826890260029593,30.191451495767364,15.411646586345382,196.61336095535958,209.64019709692653,89.28157656799691
137.47899282565166,143.84145008494326,64.13413409831931,28.120342178990793,30.338767904322577,30.928175882304327,231.21497909421814,241.12946338261816,92.59638399776073
145.99679754828173,155.1401402590301,76.33442117980074,51.59433155288619,60.93160557148304,56.50168350168351,226.91319697290652,235.89031284835613,93.33391061818698
159.92125829110802,164.96718096416993,80.5600886023391,59.09477946044045,61.203409447941105,64.39393939393939,246.3439544316802,253.90755654950894,94.41678792382457
169.170465460878,172.58095233573997,82.03265843017209,59.513609454584845,61.26748225139483,64.78114478114479,263.162056323415,267.9924981223216,96.81967012933835
177.91849072192855,186.5252763010853,91.43060412238438,78.27114068234388,91.99674816924185,85.01140793903951,263.3305050415725,267.54972898552256,96.9327722795371
191.91040836363342,197.46259318885728,94.58648481489871,83.97526804543277,92.50183047357199,90.84757834757835,284.42624292209115,287.4289612305303,97.79126178688759
180.16021048130187,181.62189543435488,98.84534700059014,90.4443651826648,92.58806831772863,97.69416070229079,257.05950645156224,257.9366043914631,99.8320781134182
218.3951051395557,219.2539628164322,99.19185662171095,90.70872130739839,92.27993489504347,98.31144465290808,327.8405769956906,328.0888438919084,99.94649545211344
187.2601739912911,188.20345824615617,99.18765256677634,91.43546367254038,93.02781677637252,98.31144465290808,269.39563997879173,269.7825795059707,99.93868792152055
198.04521671270476,198.86046930091405,99.37526982756431,91.77254472807506,92.99131217096665,98.71794871794873,289.136078413816,289.6054611265833,99.93868792152055
201.2419629240033,202.31627785334808,99.11001783817439,91.59385711250884,93.34315573242252,98.14323607427056,295.22605361956994,295.7218110998557,99.93868792152055
229.3190163099945,229.87978792895038,99.40828402366864,92.1558625385439,93.37086771294825,98.71794871794873,346.88743382838084,346.88743382838084,100.0
204.02705340642166,204.5896242702122,99.40828402366864,92.29924883081222,93.51815236902502,98.71794871794873,299.7937430426583,299.7937430426583,100.0
212.38219335846392,212.94672460534082,99.40828402366864,92.40378541894474,93.6269364538447,98.71794871794873,315.22082873519463,315.22082873519463,100.0
228.82711759199776,229.39146573874928,99.40828402366864,92.8641578865951,94.08691220455673,98.71794871794873,345.3667973394858,345.3667973394858,100.0
246.5082325847168,247.0710383645046,99.40828402366864,92.9416600448493,94.16107256772283,98.71794871794873,378.1367233331747,378.1367233331747,100.0
227.87701612355878,228.44109797206232,99.40828402366864,92.85079929260753,94.07297663103186,98.71794871794873,343.61377340723124,343.61377340723124,100.0
229.99034638298505,230.5568612514722,99.40828402366864,93.29062230197897,94.51807118370107,98.71794871794873,347.16153845241877,347.16153845241877,100.0
232.10044741328016,232.66460939261844,99.40828402366864,93.25021974601208,94.47257070124505,98.71794871794873,351.11492827093855,351.11492827093855,100.0
247.81409563128705,248.3822870812916,99.40828402366864,93.55143426091158,94.78251573592154,98.71794871794873,380.0392339487517,380.0392339487517,100.0
215.43267221212255,216.00045969438696,99.40828402366864,93.06829939198971,94.29850560356253,98.71794871794873,320.31642034366496,320.31642034366496,100.0
229.3101827403159,229.87766254056362,99.40828402366864,93.21105971059097,94.44059927779432,98.71794871794873,345.96657390865164,345.96657390865164,100.0
235.87224738088892,236.44103908426882,99.40828402366864,93.6252738404944,94.85765586448422,98.71794871794873,357.798224701227,357.798224701227,100.0
276.11027627005507,276.67774031982896,99.40828402366864,93.59865023990127,94.82815568107804,98.71794871794873,432.54881286732984,432.54881286732984,100.0
278.73226967036607,279.30000497130715,99.40828402366864,93.69934798072657,94.92944113276567,98.71794871794873,437.33191683291415,437.33191683291415,100.0
210.8846233860557,211.45300152735604,99.40828402366864,93.59068377831301,94.82216975113043,98.71794871794873,311.42228590697795,311.42228590697795,100.0
302.8297178610649,303.399088696064,99.40828402366864,93.85857449555375,95.0922113047184,98.71794871794873,481.9478407457887,481.9478407457887,100.0
262.44516087431845,263.01260563881397,99.40828402366864,93.67144551929924,94.90090917570618,98.71794871794873,407.1083454643348,407.1083454643348,100.0
334.24077039111774,334.80871571491264,99.40828402366864,93.83838110767118,95.06892930922676,98.71794871794873,540.2999612055004,540.2999612055004,100.0
337.7941440503106,338.36291482950674,99.40828402366864,93.87508482015761,95.10742150841592,98.71794871794873,546.8676233904417,546.8676233904417,100.0
251.31741495444024,251.88701402936636,99.40828402366864,93.90583107178983,95.13996240079624,98.71794871794873,386.2416297109977,386.2416297109977,100.0
266.843653310697,267.41387575040056,99.40828402366864,93.73710711353276,94.9725890662237,98.71794871794873,415.22069290826636,415.22069290826636,100.0
246.85061509315935,247.42078435534376,99.40828402366864,94.02651699913758,95.2618837338706,98.71794871794873,377.8426991737493,377.8426991737493,100.0
316.40302822733616,316.973653381104,99.40828402366864,94.17268572292858,95.4090402227587,98.71794871794873,506.8861789453998,506.8861789453998,100.0
