PQ,SQ,RQ,PQ_th,SQ_th,RQ_th,PQ_st,SQ_st,RQ_st
55.076961133825684,81.90548017043476,31.444313262495083,0.0,0.0,0.0,86.54951035315464,128.7086116963975,49.41249226963513
75.08642940220024,97.68751853012982,38.64620228256592,0.0,0.0,0.0,117.99296048917181,153.508957690204,60.72974644403216
101.81110867385543,127.10928142978808,48.28807556080284,0.0,0.0,0.0,159.98888505891568,199.74315653252413,75.88126159554731
110.90571523148817,142.2045987945468,51.31837859110586,0.0,0.0,0.0,174.2804096494814,223.46436953428787,80.64316635745207
115.43063520604242,147.02917326127925,52.83353010625738,0.0,0.0,0.0,181.3909981809238,231.04584369629598,83.02411873840445
126.89463509362034,162.7555234169543,52.83353010625738,0.0,0.0,0.0,199.40585514711768,255.75867965521394,83.02411873840445
163.782707958649,208.9455903886884,69.50019677292406,44.58031076424857,44.58031076424857,50.0,231.89836349830637,302.86860731693974,80.64316635745207
222.16919261997091,285.641948125706,79.3486816214089,60.63420471444411,65.92927879527565,68.75,314.47489999455763,411.1920448859519,85.40507111935683
224.8168838349481,289.96767888752896,78.59110586383314,65.94913727608743,65.94913727608743,75.0,315.59845329715415,417.97827409406693,80.64316635745207
222.3844997081678,286.6290144831683,78.59110586383314,65.58926598958847,65.58926598958847,75.0,311.9817761187846,412.9374421937854,80.64316635745207
226.6046309407403,292.3431526940386,78.59110586383314,65.89600558205055,65.89600558205055,75.0,318.4381311457058,421.74152247231757,80.64316635745207
223.9118633295483,288.6592651483927,78.59110586383314,65.78717620986669,65.78717620986669,75.0,314.26882739793774,416.01474454183614,80.64316635745207
226.80073436920597,292.49394556374074,78.59110586383314,65.88497625859945,65.88497625859945,75.0,318.7525961466954,421.98478516667865,80.64316635745207
223.56250865152685,288.04100629286825,78.59110586383314,66.03562535320269,66.03562535320269,75.0,313.5778705362835,414.90122397267726,80.64316635745207
223.67750693638206,288.1027911443743,78.59110586383314,66.1447584926852,66.1447584926852,75.0,313.6962203327803,414.93595265962523,80.64316635745207
222.3290071644684,286.2405553892147,78.59110586383314,66.18007414984261,66.18007414984261,75.0,311.5569688871116,411.98940181171304,80.64316635745207
223.7420894883829,288.176266013346,78.59110586383314,65.91731217055286,65.91731217055286,75.0,313.92767652714286,415.18138249494194,80.64316635745207
225.65009033188593,290.7874816894801,78.59110586383314,66.00360350599136,66.00360350599136,75.0,316.8766542323972,419.23541208004497,80.64316635745207
228.24336733498717,294.2728092420644,78.59110586383314,66.24771034414258,66.24771034414258,75.0,320.8123141868984,424.5728657551625,80.64316635745207
227.87408806629017,293.80088243246456,78.59110586383314,66.45738662776807,66.45738662776807,75.0,320.11220317401705,423.7114514637197,80.64316635745207
229.20398240284445,295.597426890099,78.59110586383314,66.41317805437632,66.41317805437632,75.0,322.2272991733976,426.5598547962262,80.64316635745207
226.26883536252893,291.55981677255335,78.59110586383314,66.2711016630587,66.2711016630587,75.0,317.6961117622262,420.2962254065503,80.64316635745207
226.52680722948003,291.9102127714564,78.59110586383314,66.14735319271237,66.14735319271237,75.0,318.1722095362044,420.91756110216716,80.64316635745207
229.1009119505315,295.415356933521,78.59110586383314,66.17723298277902,66.17723298277902,75.0,322.20015707496145,426.40857061965926,80.64316635745207
229.36645247241177,295.7339039918743,78.59110586383314,66.45347877332377,66.45347877332377,75.0,322.4595803004621,426.7512898310459,80.64316635745207
226.46327371042938,291.7725789872263,78.59110586383314,66.33163650418616,66.33163650418616,75.0,317.9670663997112,420.59597469182074,80.64316635745207
227.82558756392928,293.5950645114663,78.59110586383314,66.54970327057626,66.54970327057626,75.0,319.98323573155966,423.3352709348321,80.64316635745207
230.13399494307816,296.7112118158252,78.59110586383314,66.6842130689168,66.6842130689168,75.0,323.53387029974186,428.1552110997729,80.64316635745207
231.43835192971434,298.5488597739375,78.59110586383314,66.43531689973518,66.43531689973518,75.0,325.72580051827384,431.1851699877673,80.64316635745207
228.8970166890743,295.0553034786201,78.59110586383314,66.38368436659256,66.38368436659256,75.0,321.76177801620673,425.72480011406446,80.64316635745207
230.87991099502707,297.7816909493159,78.59110586383314,66.49006708059979,66.49006708059979,75.0,324.81696466041404,429.94833316001075,80.64316635745207
228.86518809376471,294.93990244310396,78.59110586383314,66.63684953989195,66.63684953989195,75.0,321.56709583883486,425.398789816368,80.64316635745207
229.0974471875624,295.31205639206473,78.59110586383314,66.5992607382803,66.5992607382803,75.0,321.95355373000933,426.0050824799415,80.64316635745207
230.61386376340192,297.4089366134644,78.59110586383314,66.57937031435237,66.57937031435237,75.0,324.34786002000163,429.31154592724266,80.64316635745207
230.84791661662467,297.7371019210992,78.59110586383314,66.35627343156433,66.35627343156433,75.0,324.8431412938019,429.95471820083344,80.64316635745207
230.2226284922512,296.81539094857516,78.59110586383314,66.56678309212971,66.56678309212971,75.0,323.74025443517775,428.3860240094012,80.64316635745207
231.55099221972696,298.6348499955686,78.59110586383314,66.6256662660532,66.6256662660532,75.0,325.79403562182625,431.2115264124345,80.64316635745207
230.15395291033744,296.7542868142681,78.59110586383314,66.27953113964232,66.27953113964232,75.0,323.79647963644896,428.45414719976856,80.64316635745207
229.92094744488418,296.3926736900751,78.59110586383314,66.55928752083489,66.55928752083489,75.0,323.27046740148376,427.72603721535523,80.64316635745207
230.76739710449127,297.5680171333731,78.59110586383314,66.53712455391931,66.53712455391931,75.0,324.6132671333895,429.585670035918,80.64316635745207
231.24048546690545,298.2075077021916,78.59110586383314,66.69158864021307,66.69158864021307,75.0,325.2684265107296,430.50231859475076,80.64316635745207
