PQ,SQ,RQ,PQ_th,SQ_th,RQ_th,PQ_st,SQ_st,RQ_st
84.75234316703738,93.13197560109177,39.90980799473632,0.0,0.0,0.0,157.39720873878372,172.9593832591704,74.11821484736745
119.58744972027715,130.34894575101055,66.65707104341485,35.71137648422996,44.13756292459921,40.536467751657625,191.48122677974618,204.24441674507742,89.04615957920676
155.5404355443827,166.9023330673035,89.95637941212658,79.15660957195726,89.18272095416432,88.88882228766903,221.01228637789023,233.51914344999415,90.87142837594732
177.54734974942025,183.56747333666155,94.5233387767153,83.1219657566959,88.21355520855653,94.23794459508747,258.4833931717553,265.2994031607516,94.7679623609678
267.47615886184445,271.8805700728218,95.89923809696226,87.94412344915445,90.33566127022718,97.3821220801519,421.36076064415005,427.4904919036173,94.6281946827997
213.6208948390034,216.85347861328376,97.15447452532202,89.29966055041943,90.85173043998901,98.31144465290808,320.1819528006468,324.8549770475364,96.16278584453396
219.68733619584572,220.24427104179253,99.40828402366864,90.64683089521176,91.85352306142987,98.71794871794873,330.2934835963891,330.2934835963891,100.0
413.08631076950473,413.77772352895954,99.37947388249894,89.12074799230166,90.31720698517125,98.71794871794873,690.7710788642502,691.0295948522065,99.94649545211344
212.55643587608577,213.68367303555337,99.08519513433654,90.04364029908987,91.76084666819682,98.14323607427056,317.56740351351084,318.18895277900185,99.89258861439313
201.5356111517729,202.93696704692792,98.91305291581831,89.65144936983016,91.71855551014045,97.78862614519254,297.43632125058093,298.26703407846003,99.8768472906404
295.2932376029477,297.63733759936844,98.91305291581831,89.30174615833269,91.33838140541103,97.78862614519254,471.8573731269035,474.4650143370463,99.8768472906404
