PQ,SQ,RQ,PQ_th,SQ_th,RQ_th,PQ_st,SQ_st,RQ_st
113.68687310959618,128.149920530062,46.91066509248328,0.0,0.0,0.0,178.65080060079399,201.37844654724026,73.71675943104515
157.28342321625647,176.71559505594152,71.15308933490752,43.52391864326219,43.52391864326219,50.0,222.28885440082462,252.82512443461545,83.24056895485468
231.8905315136374,252.89949919727502,84.57300275482093,65.55702159716262,65.55702159716262,75.0,326.93825146590865,359.9523435401964,90.04329004329004
254.6361410965854,260.2048973722988,86.06060606060606,64.60516605451991,64.60516605451991,75.0,363.22526969205137,371.97617241102955,92.38095238095238
254.59473098038865,258.5034128251178,88.4297520661157,65.72512299109651,65.72512299109651,75.0,362.52022125998417,368.6624355874156,96.1038961038961
251.64165442951813,258.4594924652534,85.39944903581268,65.12453720773196,65.12453720773196,75.0,358.2228642705388,368.93660975526564,91.34199134199135
246.89023762813568,251.07165815575573,88.4297520661157,65.34755373640445,65.34755373640445,75.0,350.62891413769637,357.1997178239564,96.1038961038961
251.96577356945463,256.1810594042069,88.4297520661157,66.22866061136513,66.22866061136513,75.0,358.1012666883629,364.7252872858307,96.1038961038961
248.98137693747552,253.18173958883764,88.4297520661157,66.0572200850652,66.0572200850652,75.0,353.5094665674243,360.1100364481362,96.1038961038961
250.72456256612608,257.67967424416105,85.39944903581268,65.59356754362513,65.59356754362513,75.0,356.5137025789838,367.4431637873244,91.34199134199135
243.77938801269875,244.9910460629384,90.08264462809916,64.35641715362743,64.35641715362743,75.0,346.3067999321681,348.2108340111161,98.7012987012987
