PQ,SQ,RQ,PQ_th,SQ_th,RQ_th,PQ_st,SQ_st,RQ_st
129.53102719642803,152.83647500512384,47.37898465171192,0.0,0.0,0.0,203.54875702295834,240.17160357948032,74.45269016697587
174.81593404777448,189.22142221898085,67.79220779220779,33.545089297249575,45.61905807418882,36.66666666666667,255.54213104807437,271.27991601600485,85.578231292517
229.3435955027008,240.87746529751715,80.72150072150073,63.02678331052899,65.38974015455062,72.22222222222221,324.38177389822755,341.15616537921227,85.578231292517
232.05308450277852,238.95271516661882,83.83838383838383,65.46231596834254,65.46231596834254,75.0,327.24780937959906,338.0900861370624,88.8888888888889
241.24195966518678,245.56728064347476,86.86868686868686,65.61713682651398,65.61713682651398,75.0,341.5990012872855,348.39593425316656,93.65079365079366
246.70107243761458,256.3201768286435,84.10074773711138,66.161951360442,66.161951360442,75.0,349.8662844817132,364.98201995333005,89.30117501546074
240.8233157067764,252.21718415276277,81.73160173160173,65.40077212268707,65.40077212268707,75.0,341.0647691833989,358.9694195985203,85.578231292517
217.83455825022796,237.39448830951218,86.30460448642266,66.31057102530599,66.31057102530599,75.0,304.4196938073263,335.15672675763005,92.76437847866418
222.8157523932579,265.6154028948694,79.59595959595958,65.6718193494136,65.6718193494136,75.0,312.61228556116896,379.8688792065584,82.22222222222221
235.9859315946254,281.14750616681334,81.21212121212122,65.62830470304345,65.62830470304345,75.0,333.3331469612437,404.3013355746819,84.76190476190476
240.568506301244,286.6908702216219,81.21212121212122,66.44029329158994,66.44029329158994,75.0,340.0703423067607,412.5483427530687,84.76190476190476
