PQ,SQ,RQ,PQ_th,SQ_th,RQ_th,PQ_st,SQ_st,RQ_st
69.83017405067737,80.54735897702103,36.35106583515929,0.0,0.0,0.0,129.68460895125799,149.5879523858962,67.50912226529583
112.0733827365953,123.31407102092933,60.071129642123886,24.65753336310725,29.202189643515702,28.158947970268727,187.00125362815646,203.98139791585527,87.42442821799973
137.38139209475503,157.22691307139524,80.7554848600572,62.44116303661264,89.41804444308487,70.08724951289695,201.61587414459134,215.34880046708986,89.89968658619452
174.8684528699016,182.1938691524399,93.909548775018,83.87811246084578,87.7302598351485,95.62524355077548,252.8601732205209,263.16267713868956,92.43895325294017
207.23653478404805,211.73744656711176,96.59258488275697,87.56038560793672,88.75111867917741,98.71794871794873,309.8160912207149,317.15429904248407,94.77084445259257
176.76487422457043,180.1679114062638,96.96962934348552,88.943916261436,91.00329648637576,97.73673200922991,252.0399810501142,256.5947241947393,96.31211277284747
268.0668562483696,270.1596901447959,98.51965881228507,88.51168225156493,91.23639186997657,97.04228756478547,421.97129110277365,423.52251723749805,99.78597702442762
205.03514570812786,206.6452362739441,98.55358316896779,90.61177896331507,91.81196265300885,98.71794871794873,303.1123172036817,305.07375652046017,98.41269841269842
205.63092357581024,206.74987978933106,99.21921747224255,90.81982315227378,92.02312732513906,98.71794871794873,304.04043822455577,305.08709618720985,99.64887640449437
204.31101532284367,204.8638778875621,99.40828402366864,90.82415079105864,92.02201968128178,98.71794871794873,301.5854706358022,301.5854706358022,100.0
258.66440047127537,259.46487636900963,99.1430320342787,89.96495695059687,91.69932139568778,98.14323607427056,403.26392348899975,403.26392348899975,100.0
